,altname,altt,alttitle,altwhy,aw,award,awards,awattr,awref,awtype,bnote,bt,budget,by,cat,cattext,cost,coverage,date,dir,diraw,diraward,dirid,dirk,dirn,dirname,dirnote,dirstart,dist,distr,distributor,error,facts,fid,filmed,films,fnote,inc,kname,lang,length,mnote,moneynote,moneynotes,name,nm,nnote,notes,paw,pawattr,period,pname,prc,prcnote,prctext,prod,prodk,prodnote,prods,profit,rating,refdest,refto,reftype,released,rereleased,seen,sername,serno,sersize,sert,siteat,siteclass,sitedes,sitename,siteplace,sitetype,studio,studioloc,studios,t,time,ttl,url,vt,year
2306,,,,,,,,,,,,,,,Dram,,,,,,,,CMe,R,Menges,Menges,,@1991,,,,y(19yy),,CMe10,,"
   ",,,,,,,,,,,,,,,1969,,,,,,,,,,,,,,,,,,,,,,resort,,Key West,FL,,,,,CrissCross,,,,,1992
2307,,,,,,,,,,,,,,,,,,,,,,,CPc,R,C.Pascal,C.Pascal,,@1991,,,,,,CPc10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Little Prince Said,,,,,1991
2308,,,,,,,,,,,,,,,Dram,,,,,,,,DHr,R,Dm.Harris,Dm.Harris,,@1991,,,,,,DHr12,,"
   ",,,,,,,,,Ross Thomas,,,,,,,,col,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Company,,,,,1994
2309,,,,,,,,,,,,,,,ScFi,,,,,,,,DKl,R,Klaus,Klaus,,@1991,,,,,,DKl10,,"
   ",,,,,,,,,,,,,,,,Corman,col,,,,R,,,,,,,,,,,,,,,,,,,,,,,,Future Kick,,,,,1991
2310,,,,,,,,,,,,,,,Dram,,,,,,,,DMH,R,McHenry,McHenry,,@1991,,,,,,DMH15,,"
   ",,,,,,,,,,,,,,,,McHenry,col,,,,R,,,,,,,,,,,,,,,,city,,,,,Gramercy,,,Jason's Lyric,,,,,1994
2311,,,,,,,,,,,,,,,Docu,,,,,,,,DMk,R,D.Markey,D.Markey,,@1991,,,,,,DMk10,,"
   ",,,,,,,,,,,,,,,1991,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,1991: The Year Punk Broke,,,,,1991
2312,,,,,,,,,,,,,,,Dram,,,,,,,,DSu,R,D.Sutherland,D.Sutherland,,@1991,,,,y(19yy),,DSu20,,"
   ",,,,,,,,,,,,,,,,D.Sutherland,col,,,,R,,,,,,,,,,,,,,,,,,,CA,,,,,Out of Sight,,,,,1993
2313,,,,,,,,,,,,,,,Actn,,,,,,,,DZu,R,D.Zucker,Zucker,,@1991,,,,,,DZu12,,"
   ",,,,,,,,,Proft,,,,,,,Bob Weiss,Tcol,,,,N,,,,,,,,,,,,,,,,city,,Washington,DC,,Paramount,,,The Naked Gun 2 1/2: The Smell of Fear,,,,,1991
2314,,,,,,,,,,,,,,,Dram,,,,,,,,ECh,R,E.Cohen,E.Cohen,,@1991,,,,,,ECh10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Quarrel,,,,,1991
2315,,,,,,,,,,,,,,,Horr,,,,,,,,EDi,R,Dickerson,Dickerson,,@1991,,,,,,EDi14,,"
   ",,,,,,,,,,,,,,,,Gilbert Adler,col,,,,N,,,,R,,,,,,,,,,,,,,,,,Universal,,,Tales from the Crypt: Demon Knight,,,,,1995
2316,,,,,,,,,,,,,,,,,,,,,,,EmB,R,Breer,Breer,,@1991,,,,,,EmB10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brute Charm,,,,,1991
2317,,A One and A Two,,,,,,,,Palmdir,,,,,Dram,,,,,,,,EdY,R,Yang,Yang,,@1991,,,,y(199y),,EdY18,,"
   ",,,,,3 h,,,,,,,,,,1999,,,,,,,,,,,,,,,,,,,,,,city,,Tapei,Taiwan,,,,,Yi Yi,,,,,1999
2318,,,,,,,,Margulies: bad movies we love,[27],VIP,,,,,Dram,,,,,,,,FDF,R,DeFelitta,DeFelitta,,@1991,,,,,,FDF10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scissors,,,,,1991
2319,,,,,,,,,,,,,,,Horr,,,,,,,,FrG,R,Goodwin,Goodwin,,@1991,,,,y(19yy),,FrG10,,"
   ",,,,,,,,,,,,,,,,Kenichi Tominaga. Frederico Prorperi,col,,,,X,,,,,,,,,,18Apr1992,,,,,,csd,nuclear testing site,,AZ,,,,,"Curse II, The Bite",,,,,1991
2320,,,,,,,,,,,,,,,ScFi,,,,,,,,FrH,R,F.Harris,F.Harris,,@1991,,,,,,FrH10,,"
   ",,,,,,,,,Michael Standing,,,,,,2100,Roy McAree,col,,,,N,,,,,,,,,,11Mar1992,,,,,,,,,USA,,,,,After Shock,,,,,1991
2321,,,,,,,,,,,,,,,Actn,,,,,,,,FWs,R,F.williamon,F.williamon,,@1991,,,,,,FWs10,,"
   ",,,,,,,,,,,,,,,,F.williamon,col,,,,R,,,,,,,,,,,,,,,,city,,Dallas,TX,,21st Century,,,Three Days To A Kill,,,,,1991
2322,,,,,,,,,,,,,,,Docu,,,,,,,,FxB,R,Bahr,Bahr,,@1991,,,,,,FxB10,,"
   ",,,,,,,,,Coppola,,,,,,1977,Les Mayfield,col,,,,X,,,,R,F,Apocalypse Now,filmdocu,,,,,,,,,movies,studios,,USA,,Triton,,,Hearts of Darkness,,,,,1991
2323,,,,,,,,,,,,,,,,,,,,,,,HfK,R,Kureishi,Kureishi,,@1991,,,,,,HfK10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,city,,London,GB,,,,,London Kills Me,,,,,1992
2324,,,,,,,,,,,,,,,Noir,,,first,,,,,HrH,R,Huntgeburth,Huntgeburth,,@1991,,,,,,HrH1,,"
   ",,,,,,,,,,,,,,,,,col,,,,,,,,,,,,,,,,,,,,city,,Hamburg,Germany,,NDR,,,Im Kreise der Lieben,,,,,1991
2325,,,,,,,,,,,,,,,Cart,,,,,,,,HyS,R,Selick,Selick,,@1991,,,,y(19yy),,HyS10,,"
   ",,50M,,,,,,,,,,,,,Halloween,T.Burton,col,,,,N,,,,PG,,,,,,,,,,,,town,,,NE,,Touchstone,,,The Nightmare Before Christmas,,,,,1993
2326,,,,,,,,,,,,,,,Susp,,,,,,,,IBl,R,Bailey,Bailey,,@1991,,,,,,IBl15,,"
   ",,,,,,,,,Willy Kurant,,,,,,,Berrie M. Osborne,col,,,,N,,,,R,,,,,,,,,,,,town,,,FL,,UA,,,China Moon,,,,,1994
2327,,,,,,,,,,,,,,,Romt,,,,,,,,IiS,R,Softley ,Softley,,@1991,,,,D,on the Beatles,IiS17,,"
   ",,,,,,,,,Hossein Amini,,,,AAN,,1910,Par Levatt,col,,,,X,,,,R,,,,,,,,,,,,city,,Venice,Italy,,,,,Wings of the Dove,,,,,1997
2328,,,,,,,,,,AA,,,,,Docu,,,,,,,,IrS,N,Allie Light,Scaraf,,@1991,,,,,,IrS10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S.F.,theater,opera,,CA,,,,,In the Shadow of the Stars,,,,,1991
2329,,,,,,,,,,AANdir,,,,,Dram,,6.5M,first,,,,,ISn,R,J.Singleton,J.Singleton,,@1991,,,,,,ISn4,,"
   ",,56M,,,,,,,Singleton,,,,AAN,,,Paul Hall,col,,,,X,,,,R,,,,,,,,,,,,school,university,South L.A.,USA,,Columbia,,,Higher Learning,,,,,1993
2330,,,,,,,,,,,,,,,Dram,,,first,,,,,IWk,R,I.Winkler,I.Winkler,,@1991,,,,,,IWk10,,"
   ",,,,,,,,,Michael Ferris,,,,,,1951,,col,,,,,,,,,,,,,,3Jun1998,,,,,,city,,S.F.,CA,,Columbia,,,At First Sight,,,,,1999
2331,,,,,,,,,,,,,,,susp,,,,,,,,JaR,R,Ruzicka,Ruzicka,,@1991,,,,,,JaR10,,"
   ",,,,,,,,,,,,,,,1989,Manfred Dumick,col,,,,N,,,,,,,,,,,,,,,,,,,Germany,,,,,In Sog der Angst,,,,,1991
2332,,,,,,,,,,,,,,,Comd,,,,,,,,JAv,R,Avnet,Avnet,,@1991,,,,,,JAv18,,"
   ",,,,,,,,,John Gregory Dunne,,,,,,1930-1990,John Kerner,col,,,,X,,,,PG13,,,,,,,,,,,,city,,Birmingham,China,,Touchstone,,,Things You Can Tell Just by Looking at Her,,,,,2000
2333,,,,,,,,Golden,,Palm,,,,,Dram,,,,,,,,JBm,R,Balsmeyer,Balsmeyer,,@1991,,,,,,JBm10,,"
   ",,,,,12 min,,,,,,,,,,,,col,,,,,,,,,,,,,,,,,,,,home,room,NYC,NY,,,,,The Room,,,,,1991
2334,,,,,,,,,,,,,,,Horr,,,,,,,,JDr,R,Dearden,J.Dearden,,@1991,,,,,,JDr10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Kiss Before Dying,,,,,1991
2335,,,,,,,,,,,,,,,Comd,,,,,,,,JeR,R,Rees,Rees,,@1991,,,,,,JeR10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Marying Man,,,,,1991
2336,,,,,,,,,,,,,,,,,,,,,,,JiF,R,Felter,Felter,,@1991,,,,,,JiF10,,"
   ",,,,,,,,,Felter,,,,,,,,,,,,,,,,,,,,,,,,,,,,city,,Washington,DC,,,,,Run of the House,,,,,1991
2337,,,,,,,,,,,,,,,Docu,,,,,,,,JLi,R,Livingston,Livingston,,@1991,,,,,,JLi10,,"
   ",,,,,,,,,,,,,,,,,col,,,,,,,,,,,,,,,,,,,Paris,bar,ballrooms,,France,,,,,Paris is Burning,,,,,1991
2338,,,,,,,,,,,,,,,Comd,,,first,,,,,JoF,R,J.Foster,J.Foster,,@1991,,,,,,JoF5,,"
   ",,,,,,,,,Scott Frank,,,,,,Thanksgiving,,col,,,,,,,,PG13,,,,,,,,,,,,,,,,,Orion,,,Home for the Holidays,,,,,1995
2339,,,,,,,,,,,,,,,Romt,,,first,,,,,JLp,R,Lapine,Lapine,,@1991,,,,,,JLp1,,"
   ",,,,,,,,,,,,,,,1830,,,,,,,,,,,,,,,,,,,,,,city,,Paris,France,,,,,Impromptu,,,,,1991
2340,,,,,,,,,,,,,,,Biop,,,,,,,,JoB,R,Baier,Baier,,@1991,,,,,,JoB10,,"
   ",,,,,,,,,Gernolt Roll,,,,,,1900-1928,,Fujicolor,,,,,,,,,,,,,,,,,,,Bavaria,city,,Chicago,IL,,Bavaria,,,Wildfeuer,,,,,1991
2341,,,,,,,,,,,,,,,Romt,,,,,,,,JSv,R,Sverak ,Sverak,,@1991,,,,,,JSv15,,"
   ",,,,\Cz,,,,,Sverak,,,,,,1988,,col,,,,,,,,PG13,,,,,,,,,,,,city,village,Prague,Czechoslovakia,,,,,Kolya,,,,,1997
2342,,,,,,,,,,,,,,,Docu,,,,,,,,JVa,R,Vasquez,Vasquez,,@1991,,,,,,JVa10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slum,,Harlem,NY,,,,,Hangin' with the Homeboys,,,,,1991
2343,,,,,,,,,,,,,,,Dram,,,,,,,,JVD,R,VanDormael,VanDormael,,@1991,,,,"D, 19yy, T)",,JVD10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real,,,Toto le H\'eros,,,,,1992
2344,,,,,,,,E+,,VIP,,,,,CnRb,,,,,,,,JyR,R,J.Roach,J.Roach,,@1991,,,,,,JyR4,,"
   ",,,,,,,,,Mike Myers,,,,,,"1960,1997",,,,,,,,,,PG13,,,,,,,,,,,,,,,,,New Line,,,"Austin Powers, The Spy Who Shagged Me",,,,,1999
2345,,,,,,,,,,,,,,,Dram,,,,,,,,KeR,R,K.Reynolds,K.Reynolds,,@1991,,,,,,KeR10,,"
   ",,,,,,,,,Simon Green,,,,,,1300,Jim Wilson,col,,,,X,,,,,,,,,,,,,,,,,,,GB,,Paramount,,,Robin Hood: Prince of Thieves,,,,,1991
2346,,,,,,,,,,,,,,,Comd,,,,,,,,KeH,R,Hooks,Hooks,,@1991,,,,,,KeH10,,"
   ",,,,,,,,,,,,,,,,Pam Gibson,col,,,,X,,,,,,,,,,,,,,,,city,,NYC,NY,,Warners,,,Strictly Business,,,,,1991
2347,,,,,,,,,,,,,,,Actn,,,,,,,,KuA,R,K.Anderson,K.Anderson,,@1991,,,,y),,KuA10,,"
   ",,,,,,,,,,,,,,,,Pierre David,col,,,,N,,,,,,,,,,"14May1993, partial",,,,,,city,,L.A.,CA,,,,,Bounty Hunter,,,,,1991
2348,,,,,,,,,,,,,,,Romt,,,,,,,,LrA,R,Lr.Anderson,Lr.Anderson,,@1991,,,,,,LrA10,,"
   ",,,,,short,,,,,,,,,,,,TV,,,,,,,,,,,,,,21Mar1992,,,,,Sevilla,home,apartment,,Spain,,,,,Carmen,,,,,1992
2349,,,,,,,,,,,,,,,Dram,,,first,,,,,LFZ,R,L.F.Zanuck,L.F.Zanuck,,@1991,,,,,,LFZ1,,"
   ",,,,,,,,,Eric Clapton,,,,,,,R.Zanuck,,,,,R,,,,R,,,,,,,,,,,,town,,,TX,,MGM,,,Rush,,,,,1991
2350,,,,,,,,,,,,,,,Dram,,,,,,,,LSP,R,Person,Person,,@1991,,,,,,LSP10,,"
   ",,,,Portugese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city,,Sao Paulo,Brazil,,,,,"Sao Paulo, S.A.",,,,,1991
2351,,,,,,,,,,,,,,,Romt,,,,,,,,MAD,R,Donoghue,Donoghue,,@1991,,,,,,MAD10,,"
   ",,,,,,,,,,,,,,,,,col,,,,,,,,PG13,,,,,,,,,,,,,,,,,Buena Vista,,,Paradise,,,,,1991
2352,,,,,,,,,,,,,,,Fant,,,,,,,,MiH,R,M.Hoffman,M.Hoffman,,@1991,,,Miramax,,,MiH18,,"
   ",,,Shakespeare,,,,,,,,,,,,,M.Hoffman,,,,,X,,,,,,,,,,,,,,,,city,,London,GB,,Fox Searchlight,,,A Midsummer Nights Dream,,,,,1999
2353,,,,,,,,,,,,,,,Actn,,,first,,,,,MKb ,R,Karbelnikoff,Karbelnikoff,,@1991,,,,,,MKb10,,"
   ",,,,,,,,,,,,,,,,,col,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobsters,,,,,1991
2354,,,,,,,,,,,,,,,Horr,,,,,,,,MKi,R,Kitrosser,Kitrosser,,@1991,,,,Tm),,MKi10,,"
   ",,,,,,,,,Screaming Mad George,,,,,,,Brian Yuzna,col,,,,X,,,,,,,,,,,,,,,,town,,,USA,,Still Silent Films,,,Dangerous Toys,,,,,1991
2355,,,,,,,,,,,,,,,,,,,,,,,MKl,R,Klier,Klier,,@1991,,,,,,MKl10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ostkreuz,,,,,1991
2356,,,,,,,,,,,,,,,Docu,,,,,,,,MoA,N,Glenn Swikes,Aguirre,,@1991,,,,,,MoA10,,"
   ",,,,,,,,,,,,,,,,,col,,,,,,,,,,,,,,,,,,,,river,,Amazon,Brazil,,Colossal,,,Amazonia: Voices from the Rainforest,,,,,1991
2357,,,,,,,,,,,,,,,West,,,,,,,,MRP,R,MrVanPeebles,MrVanPeebles,,@1991,,,,,,MRP14,,"
   ",,,,,,,,,,,,,,,Spanish-American war,Jim Steele,col,,,,X,,,,,,,,,,,,,,,West,city,,NYC,USA,,Gramercy,,,Posse,,,,,1993
2358,,,,,,,,,,,,,,,Cart,,,first,,,,,MtR,R,M.Rich,M.Rich,,@1991,,,,,,MtR10,,"
   ",,,,,,,,,Hammerstein,,,,,,,Peter Bakalian,col,,,,X,,,,,,,,,,,,,,,Brooklyn,resort,,Martha's Vineyard,MA,,Warners,,,The King and I,,,,,1999
2359,,,,,,,,,,,,,,,,,,,,,,,MTs,R,Troisi,Troisi,,@1991,,,,,,MTs10,,"
   ",,,,\It,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I Thought It Was Love,,,,,1991
2360,,,,,,,,,,,,,,,,,,,,,,,MuT,R,Toure,Toure,,@1991,,,,,,MuT10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toubab Bi,,,,,1991
2361,,,,,,,,,,,,,,,Docu,,,,,,,,NBr,R,Broomfield,Broomfield,,@1991,,,,,,NBr17,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city,,Seattle,WA,,,,,Kurt and Courtney,,,,,1998
2362,,,,,,,,,,AA,,,,,Cart,,,,,,,,NiP,R,Park,Park,,@1991,,,,y(19yy),,NiP17,,"
   ",,,,,short,,,,,,,,,,,Pter Lord,col,,,,R,,,,,,,,,,,,,,,,,,,,,,,,Chicken Run,,,,,2000
2363,,House Built on Sand,,,,,,,,,,,,,Dram,,,,,,,,NyA,R,Adomenaite,Adomenaite,,@1991,,,,,,NyA10,,"
   ",,,,,,,,,,,,,,,1930,,col,,,,,,,,,,,,,,,,,,,,csd,house,,Russia,,Lensfilm,,,Dom Ne Peske,,,,,1991
2364,,The Secret Face,,USA,,,,,,,,,,,Fant,,,,,,,,OKa,R,Kavur,Kavur,,@1991,,,,,,OKa10,,"
   ",,,,\Tu,,,,,Orhan Pamuk,,,,,,,,col,,,,,,,,,,,,,,,,,,,Black Sea,csd,village,,Turkey,,Alfa,,,"Gizli Y\""uz",,,,,1991
2365,,,,,,,,,,,,,,,Porn,,,,,,,,PGl,R,Glickler,Glickler,,@1991,,,,y(199y),,PGl10,,"
   ",,,,,,,,,,,,,,,,Glickler,col,,,,N,,,,,,,,,,,,,,,,,,,,,,,,Cheerleaders,,,,,1991
2366,,,,,,,,,,,,,,,Comd,,,,,,,,PHw,R,Hewitt,Hewitt,,@1991,,,,D,,PHw10,,"
   ",,,,,,,,,Edward Solomon,,,,,,2100,,Deluxe,,,,,,,,PG,,,,,,3Dec1994,,2,,BnT,,city,heaven,L.A.,CA,,Orion,,,Bill and Ted's Bogus Journey,,,,,1991
2367,,,,,,,,,,,,,,,,,,,,,,,PlM,R,Mones,Mones,,@1991,,,,,,PlM10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,Pacific,,,Fathers and Sons,,,,,1991
2368,,,,,,,,,,,,,,,Comd,,,,,,,,PRs,R,P.Richardson,P.Richardson,,@1991,,,,y(19yy),,PRs10,,"
   ",,,,,,,,,,,,,,,,Stephen Wooley,col,,,,N,,,,,,,,,,,,,,,,,,,Vatican,,,,,The Pope Must Die[t],,,,,1991
2369,,,,,,,,,,,,,,,Comd,,,,,,,,PSp,R,Spheeris,Spheeris,,@1991,,,,,,PSp14,,"
   ",,,,,,,,,,,,,,,,,col,,,,,,,,,,,,,,,,,,,Aurora,town,TV studio,Hollywood,CA,,,,,The Beverly Hillbillies,,,,,1993
2370,,,,,,,,,,,,,,,Dram,,,,,,,,RdD,R,Daniel,Daniel,,@1991,,,,,,RdD10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Super,,,,,1991
2371,,,,,,,,,,,,,,,Hist,,71M,,,,,,RlE,R,Emmerich ,Emmerich,,@1991,,,,,,RlE24,,"
   ",,136M,,,160m,,,,John Williams,,,,,,1778,Dean Devlin,col,,,,R,,,,PG13,,,,,,22Nov1996,,,,,South,csd,motel,NYC,SC,,Columbia,,,The Patriot,,,,,2000
2372,,,,,,,,,,,,,,,Romt,,,,,,,,RLl,R,Linklater,Linklater,,@1991,,,,,,RLl21,,"
   ",,,,,,,,,Eric Bogosian,,,,,,28May1976,,col,,,,,,,,,,,,,,,,,,,,city,high school,Paris,France,,,,,Before Sunset,,,,,2004
2373,,,,,,,,,,,,,,,,,,,,,,,RSm,R,R.Simon,R.Simon,,@1991,,,,,,RSm10,,"
   ",,,,\Ge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The `O' Case,,,,,1991
2374,,,,,,,,#92,,Fun,,,,,Comd,,,,,,,,RUn,R,Underwood,Underwood,,@1991,,,,,,RUn10,,"
   ",,,,,,,,,Babaloo Mandel,,,,,,,,col,,,,,,,,,,,,,,,,,,,,csd,ranch,NYC,TX,,,,,City Slickers,,,,,1991
2375,,,,,,,,,,,,,,,Dram,,,,,,,,SCa,R,Callow,Callow,,@1991,,,,,,SCa10,,"
   ",,,,,,,,,Michael Hirst,,,,,,,,col,,,,,,,,,,,,,,,,,,,South,town,,,USA,,,,,The Ballad of the Sad Cafe,,,,,1991
2376,,,,,,,,,,,,,,,,,,first,,,,,SeP,R,S.Penn,S.Penn,,@1991,,,,y(199y),,SeP2,,"
   ",,,,,,,,,S.Penn,,,,,,,,col,,,,,,,,,,,,,,28Jun2000,,,,,West,,,,USA,,,,,The Crossing Guard,,,,,1994
2377,,Xuese Qingchen,,,,,,,,,,Chronicle of a Death Foretold,,,,,,,,,,,SHL,R,Li,Li,,@1991,,,,,,SHL2,,"
   ",,,Gabriel~Garcia,\Ch,,,,,,,,,,,,Tian YuPing,col,,,,N,,,,,,,,,,,,,,,,csd,,,China,,Peking Film Studio,,,Bloody Morning,,,,,1991
2378,,,,,,,,,,,,,,,Dram,,,,,,,,SHp,R,S.Hopkins,S.Hopkins,,@1991,,,,,,SHp13,,"
   ",,,,,,,,,Wendy Kesselman,,,,,,,Richard Lewis,col,,,,X,,,,R,,,,,,,,,,,Northern Ireland,csd,,Cape Cod,MA,,Universal,,,"I Love You, I Love You Not",,,,,1997
2379,,,,,,,,,,,,,,,Actn,,,,,,,,SLe,R,Lettich,Lettich,,@1991,,,Columbia,D,,SLe15,,"
   ",,,,,,,,,vanDamme,,,,,,,vanDamme,DeLuxe,,,,R,,,,,,,,,,,,,,,,city,,Hong Kong,China,,Imperial,,,Knock Off,,,,,1998
2380,,,,,,,,,,,,,,,,,,,,,,,SNa,R,Nakahara,Nakahara,,@1991,,,,,,SNa10,,"
   ",,,,\Ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Cherry Orchard,,,,,1991
2381,,,,,,,,,,AAN,,,,,Comd,,,,,,,,SpJ,R,Jonze,Jonze,,@1991,,,,,,SpJ13,,"
   ",,,C.Kaufman,,,,,,Susan Orlean,,,,AAN,,,,sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaptation,,,,,2002
2382,,,,,,,,,,,,,,,Docu,,,,,,,,StN,R,S.Neumann,S.Neumann,,@1991,,,,,,StN10,,"
   ",,,,,52 min,,,,,,,,,,,,bnw,,,,,,,,,,,,,,,,,,,,city,,Paris,France,,,,,"Paris, Roman d'une Ville",,,,,1991
2383,,,,,,,,,,,,,,,Dram,,,,,,,,SyC,R,Cochran,Cochran,,@1991,,,,,,SyC10,,"
   ",,,,,short,,,,,,,,,,,,col,,,,,,,,,,,,,,,,,,,,town,suburb,,NJ,,IRS Media,,,My New Gun,,,,,1992
2384,,,,,,,,,,,,,,,Cart,,,,,,,,THg,R,T.Hughes,T.Hughes,,@1991,,,,,,THg33,,"
   ",,,,,,,,,T.Hughes,,,,,,,Lauren Lloyd,Tcol,,,,X,,,,,,,,,,,,,,,,city,coast,NYC,NY,,Warners,,,The Iron Giant,,,,,1999
2385,,,,,,,,,,,,,,,,,,,,,,,TKi,R,Kitano,Kitano,,@1991,,,,y(19yy),,Tki7,,"
   ",,,,\Jp,,,,,Kitano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fireworks,,,,,1998
2386,,,,,,,,,,,,,,,Dram,,,first,,,,,TLW,R,Wallace,T.L.Wallace,,@1991,,,,D(Oboteff),,TLW5,,"
   ",,,,,,,,,Jim Henderson,,,,,,,,Tcol,,,,,,,,,,,,,,20Jun1999,,,,,S.F.,public,religious community,,MT,,Buena Vista,,,Holy Matrimony,,,,,1994
2387,,,,,,,,,,,,,,,,,,,,,,,ToC,R,Cookson,Cookson,,@1991,,,,,,ToC10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,And You Thought Your Parents Were Weird,,,,,1991
2388,,Piano Piano Kiddo,,USA,,,,,,,,,,,Romt,,,,,,,,TuB,R,Basaran,Basaran,,@1991,,,,,,TuB10,,"
   ",,,,\Tu,,,,,Laura Esquivel,,,,,,1940,,col,,,,,,,,,,,,,,,,,,,Istanbul,homey,old house,,Turkey,,Cicek,,,Piano Piano Bacaksiz,,,,,1991
2389,,,,,,,,,,,,,,,Dram,,,,,,,,VNf,R,Naefe,Naefe,,@1991,,,,,,VNf10,,"
   ",,,,,,,,,,,,,,,,Regina Ziegler,Ecol,,,,N,,,,,,,,,,,,,,,,,,,Greece,,,,,"Meine Tochter geh\""ort mir",,,,,1991
2390,,,,,,,,,,,,,,,Dram,,,first,,,,,WHj,R,W.Harris,W.Harris,,@1991,,,,,,WHj1,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chameleon Street,,,,,1991
2391,,,,,,,,,,,,,,,Dram,,,,,,,,Z91,R,UnYear91,UnYear91,,@1991,,,,,,Z9140,,"
   ",,,,,,,,,,,,,,,,,col,,,,,,,,,,,,,,12Jan1993,,,,,,,,,CA,,Goldwyn,,,Murder in New Hampshire,,,,,1991
2392,The Man from Hollywood,,,vigentte 4,,,,,,,,,,,Comd,,,,,,,,AAn,R,Tarentino,Anders,,@1992,,,,,,AAN14,,"
   ",,,,,,,,,,,,,,,,Lawrence Bender,,,,,N,,,,,,,,,,,,,,,L.A.,hotel,barrios,,CA,,Miramax,,,Four Rooms,,,,,1995
2393,,,,,,,,,,,,,,,Dram,,2.5M,,,,,,AbH,R,Alb.Hughes,Alb.Hughes,,@1992,,,,,,AbH1,,"
   ",,,,,,,,,,,,,,,,All.Hughes,col,,,,R,,,,,,,,,,,,,,,L.A.,slum,downtown,,CA,,NewLine,,,Menace II Society,,,,,1992
2394,,,,,,,,,,,,,,,Actn,,,,,,,,ADg,R,Dienstag,Dienstag,,@1992,,,,,,ADg10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Moneytree,,,,,1992
2395,,,,,,,,,,,,,,,Romt,,,,,,,,AfA,R,Arau,Arau,,@1992,,,,,,AfA10,,"
   ",,,,\Sp,,,,,Laura Esquivel,,,,,,1910,Arau,col,,,,R,,,,R,,,,,,27Mar1994,,,,,,,,,Mexico,,Miramax,,,Like Water for Chocolate,,,,,1992
2396,,,,,,,,,,,,,,,,,,one,,,,,AJd,R,Jardin,Jardin,,@1992,,,,,,AJd10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fanfan,,,,,1992
2397,,,,,,,,,,,,,,,Docu,,,one,,,,,ANe,R,Negrin,Negrin,,@1992,,,,,,ANe10,,"
   ",,,,,,,,,,,,,,,1985,,TV,,,,,,,,,,,,,,,,,,,,ship,,,Mediterranean,,,,,Voyage of Terror,,,,,1992
2398,,,,,,,,,,,,,,,BioP,,,one,,,,,AnW,R,Weeks,Weeks,,@1992,,,,,,AnW10,,"
   ",,,,,,,,,,,,,,,1970,Ellen Fisher Turk,col,,,,N,,,,,,,,,,,,,,,,city,,NYC,NY,,,,,Split: William to Chrysis,,,,,1992
2399,,,,,,,,,,,,,,,Porn,,,one,,,,,AWk,R,Wolk,Wolk,,@1992,,,,,,AWk10,,"
   ",,,,,,,,,,,,,,,,David V. Picker,col,,,,X,,,,R,,,,,,,,,,,,,,,,,Goldwyn,,,Traces of Red,,,,,1992
